FID,SHAPE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,BEZIRK,ADRESSE,ANZAHL,ART_KAT
FAHRRADABSTELLANLAGEOGD.6557451,POINT (16.256922319975693 48.166610233861),6557451,,13,Lainzerbachstraße ggü. 214,6,0
FAHRRADABSTELLANLAGEOGD.6557452,POINT (16.386131002430364 48.24041232983926),6557452,,20,"Wehlistraße 55, Millenium Entertainment Center",8,0
FAHRRADABSTELLANLAGEOGD.6557453,POINT (16.493161340085905 48.217095615064984),6557453,,22,Groß-Enzersdorfer Straße 24,4,0
FAHRRADABSTELLANLAGEOGD.6557454,POINT (16.254766043901913 48.205343170485506),6557454,,14,Bujattigasse 11A,4,0
FAHRRADABSTELLANLAGEOGD.6557455,POINT (16.2970629544692 48.19770306852932),6557455,,14,Ameisbachzeile 2,6,0
FAHRRADABSTELLANLAGEOGD.6557456,POINT (16.379089314335815 48.20780416817648),6557456,,1,Dr.-Karl-Lueger-Platz 4,6,0
FAHRRADABSTELLANLAGEOGD.6557457,POINT (16.379036879611807 48.207750410095066),6557457,,1,Dr.-Karl-Lueger-Platz 4,6,0
FAHRRADABSTELLANLAGEOGD.6557458,POINT (16.379178258697483 48.20789784336815),6557458,,1,Dr.-Karl-Lueger-Platz 4A,6,0
FAHRRADABSTELLANLAGEOGD.6557459,POINT (16.37914725026493 48.20786710445495),6557459,,1,Dr.-Karl-Lueger-Platz 4A,6,0
FAHRRADABSTELLANLAGEOGD.6557460,POINT (16.35425509037132 48.20322501139209),6557460,,7,Stiftgasse 29,8,0
FAHRRADABSTELLANLAGEOGD.6557461,POINT (16.336990580529626 48.213976900500555),6557461,,16,Payergasse 9,10,0
FAHRRADABSTELLANLAGEOGD.6557462,POINT (16.313359625258833 48.211122566108266),6557462,,16,Hasnerstraße 124A,4,0
FAHRRADABSTELLANLAGEOGD.6557463,POINT (16.40194641769071 48.15190079315722),6557463,,10,Filmteichstraße (Kurpark),8,0
FAHRRADABSTELLANLAGEOGD.6557464,POINT (16.40386622548514 48.223891742841396),6557464,,2,Mexikoplatz 20,6,0
